Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage,Customer ID
SUCCESS,7/9/19 16:32,7/9/19 17:19,Product 4,192,14400,45823
FAILURE,7/9/19 2:32,7/9/19 3:14,Product 1,144,9600,39170
FAILURE,7/9/19 1:23,7/9/19 1:59,Product 1,144,9600,39170
FAILURE,7/8/19 22:23,7/8/19 23:24,Product 1,144,9600,39170
SUCCESS,7/5/19 22:13,7/5/19 22:58,Product 1,168,4800,19441
SUCCESS,7/5/19 20:29,7/5/19 20:56,Product 3,14,40,61301
FAILURE,7/5/19 20:28,7/5/19 20:29,Product 3,14,40,61301
FAILURE,7/5/19 20:26,7/5/19 20:27,Product 3,14,40,61301
FAILURE,7/3/19 17:41,7/3/19 17:44,Product 4,144,7200,57971
CANCELLED,7/3/19 17:01,7/3/19 17:50,Product 1 ,144,7200,57971
SUCCESS,7/2/19 11:50,7/2/19 12:09,Product 1,48,9600,19441
SUCCESS,7/1/19 23:03,7/1/19 23:34,Product 2,32,4800,85074
SUCCESS,7/1/19 13:03,7/1/19 13:42,Product 2,96,4800,85074
SUCCESS,6/28/19 16:59,6/28/19 18:28,Product 1,48,2400,65501
SUCCESS,6/28/19 12:06,6/28/19 15:24,Product 1,576,2400,65501
FAILURE,6/28/19 11:31,6/28/19 11:43,Product 1,576,2400,65501
FAILURE,6/28/19 9:13,6/28/19 10:01,Product 1,576,2400,65501
SUCCESS,6/27/19 20:43,6/27/19 20:50,Product 1,288,2400,65501
FAILURE,6/27/19 20:21,6/27/19 20:32,Product 1,288,2400,65501
FAILURE,6/27/19 19:31,6/27/19 19:59,Product 1,288,2400,65501
SUCCESS,6/27/19 17:31,6/27/19 17:37,Product 3,14,300,26324
FAILURE,6/27/19 16:36,6/27/19 17:29,Product 3,14,300,26324
CANCELLED,6/27/19 16:25,6/27/19 16:35,Product 3,14,300,26324
SUCCESS,6/27/19 16:01,6/27/19 16:24,Product 1,144,26400,22719
SUCCESS,6/27/19 13:02,6/27/19 13:32,Product 2,64,4800,85074
SUCCESS,6/26/19 21:07,6/26/19 21:35,Product 2,16,960,21083
FAILURE,6/26/19 15:21,6/26/19 15:22,Product 1,576,2400,65501
FAILURE,6/25/19 20:30,6/25/19 20:32,Product 2,96,4800,85074
SUCCESS,6/24/19 21:32,6/24/19 22:17,Product 1,96,4800,19441
SUCCESS,6/20/19 12:06,6/20/19 12:35,Product 3,28,4000,94807
SUCCESS,6/19/19 19:38,6/19/19 19:51,Product 3,14,350,43299
FAILURE,6/19/19 2:07,6/19/19 2:38,Product 2,16,2400,37622
SUCCESS,6/17/19 21:23,6/17/19 21:53,Product 4,28,960,55941
SUCCESS,6/14/19 19:59,6/14/19 20:10,Product 2,16,1920,76923
FAILURE,6/14/19 15:34,6/14/19 18:02,Product 2,16,1920,76923
SUCCESS,6/13/19 12:57,6/13/19 13:22,Product 1,120,4800,37622
SUCCESS,6/13/19 1:04,6/13/19 1:34,Product 3,14,100,88643
SUCCESS,6/12/19 3:04,6/12/19 3:49,Product 1,72,4800,37622
SUCCESS,6/11/19 20:49,6/11/19 20:55,Product 3,14,350,88643
CANCELLED,6/11/19 20:01,6/11/19 20:49,Product 3,14,350,88643
CANCELLED,6/11/19 18:24,6/11/19 20:00,Product 3,14,350,88643
SUCCESS,6/11/19 18:00,6/11/19 18:35,Product 2,16,1440,76923
SUCCESS,6/11/19 10:00,6/11/19 10:28,Product 2,64,1440,76923
SUCCESS,6/7/19 18:32,6/7/19 19:13,Product 1,48,9600,77983
FAILURE,6/7/19 17:33,6/7/19 17:43,Product 1,48,9600,77983
SUCCESS,6/7/19 17:32,6/7/19 18:03,Product 2,16,1440,76923
SUCCESS,6/7/19 17:28,6/7/19 17:45,Product 3,14,200,43299
SUCCESS,6/7/19 17:10,6/7/19 17:19,Product 3,6,200,43299
FAILURE,6/7/19 17:04,6/7/19 17:07,Product 1,48,9600,77983
FAILURE,6/7/19 14:50,6/7/19 17:03,Product 1,48,9600,77983
SUCCESS,6/6/19 16:04,6/6/19 16:37,Product 2,64,1440,76923
SUCCESS,6/6/19 14:16,6/6/19 14:27,Product 1,144,9600,77983
FAILURE,6/6/19 13:46,6/6/19 13:55,Product 1,144,9600,77983
FAILURE,6/6/19 4:02,6/6/19 4:04,Product 2,64,1440,76923
SUCCESS,6/5/19 20:37,6/5/19 21:07,Product 1,120,4800,77983
FAILURE,6/5/19 20:08,6/5/19 20:27,Product 1,120,4800,77983
SUCCESS,6/5/19 3:07,6/5/19 3:35,Product 2,64,960,21083
FAILURE,6/4/19 15:54,6/4/19 15:55,Product 2,64,960,21083
SUCCESS,5/30/19 16:58,5/30/19 17:19,Product 3,6,40,94807
SUCCESS,5/30/19 15:34,5/30/19 15:59,Product 3,14,40,94807
SUCCESS,5/30/19 13:35,5/30/19 14:05,Product 2,48,1440,38946
FAILURE,5/30/19 12:53,5/30/19 13:13,Product 2,48,1440,38946
SUCCESS,5/28/19 2:53,5/28/19 3:26,Product 1,144,24000,22719
FAILURE,5/28/19 1:08,5/28/19 2:09,Product 1,144,24000,22719
SUCCESS,5/27/19 21:04,5/27/19 21:38,Product 1,120,4800,37622
FAILURE,5/27/19 21:04,5/28/19 0:12,Product 1,144,24000,22719
SUCCESS,5/24/19 2:55,5/24/19 13:20,Product 1,144,9600,73613
FAILURE,5/24/19 2:04,5/24/19 2:33,Product 1,144,9600,73613
SUCCESS,5/22/19 0:20,5/22/19 0:59,Product 1,48,4800,37622
FAILURE,5/21/19 23:34,5/22/19 0:04,Product 1,48,4800,37622
FAILURE,5/21/19 18:23,5/21/19 18:24,Product 2,48,1440,38946
FAILURE,5/21/19 16:56,5/21/19 16:57,Product 2,48,1440,38946
SUCCESS,5/20/19 23:57,5/21/19 0:48,Product 1,120,4800,37622
CANCELLED,5/20/19 23:23,5/20/19 23:45,Product 1,120,4800,37622
FAILURE,5/20/19 22:06,5/20/19 22:26,Product 1,120,4800,37622
SUCCESS,5/17/19 6:46,5/17/19 7:08,Product 2,16,1440,38946
SUCCESS,5/17/19 4:56,5/17/19 5:25,Product 2,16,960,38946
SUCCESS,5/16/19 22:26,5/17/19 1:41,Product 2,32,960,38946
SUCCESS,5/16/19 18:19,5/16/19 18:58,Product 1,48,7200,19441
CANCELLED,5/16/19 15:55,5/16/19 18:18,Product 1,48,7200,19441
FAILURE,5/16/19 15:39,5/16/19 15:43,Product 2,32,960,38946
FAILURE,5/16/19 4:21,5/16/19 4:24,Product 2,32,960,38946
FAILURE,5/15/19 18:17,5/15/19 18:19,Product 3,14,40,88643
FAILURE,5/15/19 18:05,5/15/19 18:07,Product 3,14,40,88643
SUCCESS,5/13/19 16:19,5/13/19 16:41,Product 3,14,40,64122
SUCCESS,5/13/19 16:15,5/13/19 17:02,Product 5,48,2400,40168
CANCELLED,5/13/19 15:45,5/13/19 16:18,Product 3,14,40,64122
SUCCESS,5/13/19 12:46,5/13/19 13:13,Product 2,16,960,38946
SUCCESS,5/13/19 12:01,5/13/19 12:26,Product 2,32,960,38946
SUCCESS,5/13/19 11:46,5/13/19 11:54,Product 2,16,960,38946
FAILURE,5/13/19 3:30,5/13/19 3:32,Product 2,48,960,38946
SUCCESS,5/13/19 3:01,5/13/19 3:28,Product 2,16,960,38946
SUCCESS,5/13/19 2:26,5/13/19 2:50,Product 2,32,960,38946
SUCCESS,5/11/19 0:21,5/11/19 0:52,Product 2,16,960,38946
SUCCESS,5/10/19 17:47,5/10/19 18:17,Product 2,32,960,38946
FAILURE,5/10/19 17:11,5/10/19 17:29,Product 2,32,960,38946
FAILURE,5/10/19 13:32,5/10/19 13:33,Product 2,32,960,38946
FAILURE,5/10/19 9:01,5/10/19 9:02,Product 2,32,960,38946
SUCCESS,5/9/19 18:40,5/9/19 19:18,Product 5,72,2400,40168
FAILURE,5/9/19 3:18,5/9/19 4:23,Product 5,48,2400,40168
SUCCESS,5/9/19 2:10,5/9/19 2:49,Product 5,72,2400,40168
SUCCESS,5/8/19 18:09,5/8/19 18:57,Product 2,64,960,99376
FAILURE,5/8/19 1:17,5/8/19 1:18,Product 2,64,960,99376
SUCCESS,5/7/19 18:15,5/7/19 18:41,Product 3,14,40,40007
SUCCESS,5/7/19 16:10,5/7/19 16:26,Product 3,6,60,43299
FAILURE,5/7/19 13:05,5/7/19 13:06,Product 2,64,960,99376
SUCCESS,5/6/19 19:36,5/6/19 19:51,Product 3,6,80,88643
FAILURE,5/2/19 19:35,5/7/19 22:49,Product 3,14,40,70809
SUCCESS,5/1/19 21:50,5/1/19 22:12,Product 3,6,40,7254
SUCCESS,5/1/19 21:00,5/1/19 21:27,Product 3,14,40,7254
SUCCESS,4/26/19 18:40,4/26/19 19:14,Product 1,48,2400,83264
SUCCESS,4/19/19 17:16,4/19/19 17:44,Product 1,72,2400,61862
SUCCESS,4/12/19 16:20,4/12/19 16:38,Product 2,16,1440,76923
FAILURE,4/12/19 14:50,4/12/19 16:13,Product 2,16,1440,76923
SUCCESS,4/8/19 16:20,4/8/19 16:47,Product 1,72,2400,83264
SUCCESS,4/5/19 21:30,4/5/19 22:07,Product 1,48,2400,61862
SUCCESS,4/2/19 16:06,4/2/19 17:04,Product 1,120,9600,22719
SUCCESS,3/30/19 14:56,3/30/19 15:04,Product 2,16,960,98091
FAILURE,3/30/19 14:32,3/30/19 14:44,Product 2,16,960,98091
FAILURE,3/30/19 14:13,3/30/19 14:25,Product 2,16,960,98091
FAILURE,3/30/19 9:25,3/30/19 10:43,Product 2,16,960,98091
SUCCESS,3/29/19 17:05,3/29/19 17:29,Product 1,72,2400,61862
SUCCESS,3/29/19 16:15,3/29/19 18:25,Product 1,48,2400,65501
SUCCESS,3/29/19 14:06,3/29/19 14:39,Product 1,264,9600,85943
SUCCESS,3/29/19 3:00,3/29/19 3:35,Product 1,288,9600,85943
SUCCESS,3/28/19 21:30,3/28/19 21:58,Product 1,48,4800,19441
SUCCESS,3/26/19 14:01,3/26/19 15:24,Product 1,96,2400,65501
CANCELLED,3/26/19 6:11,3/26/19 14:00,Product 1,96,2400,65501
SUCCESS,3/25/19 23:16,3/26/19 0:04,Product 1,168,9600,22719
SUCCESS,3/25/19 15:26,3/25/19 15:52,Product 1,144,2400,65501
SUCCESS,3/25/19 1:51,3/25/19 2:13,Product 2,32,960,98091
SUCCESS,3/23/19 23:08,3/23/19 23:45,Product 1,48,2400,65501
SUCCESS,3/23/19 20:47,3/23/19 21:22,Product 1,192,2400,65501
FAILURE,3/23/19 20:37,3/23/19 20:38,Product 1,192,2400,65501
FAILURE,3/23/19 20:01,3/23/19 20:03,Product 1,192,2400,65501
SUCCESS,3/22/19 19:00,3/22/19 19:31,Product 2,48,4800,19441
SUCCESS,3/22/19 14:15,3/22/19 14:41,Product 1,96,2400,65501
SUCCESS,3/22/19 12:37,3/22/19 13:19,Product 1,120,9600,22719
FAILURE,3/22/19 10:23,3/22/19 11:41,Product 1,96,2400,65501
FAILURE,3/22/19 10:17,3/22/19 10:18,Product 1,96,2400,65501
FAILURE,3/21/19 20:16,3/21/19 20:18,Product 2,48,4800,19441
SUCCESS,3/21/19 17:16,3/21/19 17:27,Product 2,16,960,76923
FAILURE,3/20/19 14:51,3/20/19 14:52,Product 1,120,9600,22719
